date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:56:55	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2266b11ffa-239b%22	https://themewagon.github.io/robots.txt		(from )
11:56:55	62651/62651	---M-Z	200	added ('OK')	text/html	etag:W/%22669394a5-f4bb%22	https://themewagon.github.io/WaterLand/	C:/My%20Web%20Sites/Project%20Advisory%20Sample%201/themewagon.github.io/WaterLand/index.html	(from )
11:56:56	59305/59305	---MCZ	200	added ('OK')	text/css	etag:W/%22ecd507b3125edc4d2a03aa6ae5d07da9%22	https://use.fontawesome.com/releases/v5.15.4/css/all.css	C:/My%20Web%20Sites/Project%20Advisory%20Sample%201/use.fontawesome.com/releases/v5.15.4/css/all.css	(from https://themewagon.github.io/WaterLand/)
11:56:56	63666/63666	---MCZ	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	C:/My%20Web%20Sites/Project%20Advisory%20Sample%201/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://themewagon.github.io/WaterLand/)
11:56:56	16964/16964	---M-Z	200	added ('OK')	text/css	etag:W/%22669394a5-4244%22	https://themewagon.github.io/WaterLand/lib/animate/animate.min.css	C:/My%20Web%20Sites/Project%20Advisory%20Sample%201/themewagon.github.io/WaterLand/lib/animate/animate.min.css	(from https://themewagon.github.io/WaterLand/)
11:56:57	2532/2532	---M-Z	200	added ('OK')	text/css	etag:W/%22669394a5-9e4%22	https://themewagon.github.io/WaterLand/lib/lightbox/css/lightbox.min.css	C:/My%20Web%20Sites/Project%20Advisory%20Sample%201/themewagon.github.io/WaterLand/lib/lightbox/css/lightbox.min.css	(from https://themewagon.github.io/WaterLand/)
11:56:57	2936/2936	---M-Z	200	added ('OK')	text/css	etag:W/%22669394a5-b78%22	https://themewagon.github.io/WaterLand/lib/owlcarousel/assets/owl.carousel.min.css	C:/My%20Web%20Sites/Project%20Advisory%20Sample%201/themewagon.github.io/WaterLand/lib/owlcarousel/assets/owl.carousel.min.css	(from https://themewagon.github.io/WaterLand/)
11:56:57	164654/164654	---M-Z	200	added ('OK')	text/css	etag:W/%22669394a5-2832e%22	https://themewagon.github.io/WaterLand/css/bootstrap.min.css	C:/My%20Web%20Sites/Project%20Advisory%20Sample%201/themewagon.github.io/WaterLand/css/bootstrap.min.css	(from https://themewagon.github.io/WaterLand/)
11:56:58	18868/18868	---M-Z	200	added ('OK')	text/css	etag:W/%22669394a5-49b4%22	https://themewagon.github.io/WaterLand/css/style.css	C:/My%20Web%20Sites/Project%20Advisory%20Sample%201/themewagon.github.io/WaterLand/css/style.css	(from https://themewagon.github.io/WaterLand/)
11:56:58	62651/62651	---M-Z	200	added ('OK')	text/html	etag:W/%22669394a5-f4bb%22	https://themewagon.github.io/WaterLand/index.html	C:/My%20Web%20Sites/Project%20Advisory%20Sample%201/themewagon.github.io/WaterLand/index-2.html	(from https://themewagon.github.io/WaterLand/)
11:56:59	33047/33047	---M-Z	200	added ('OK')	text/html	etag:W/%22669394a5-8117%22	https://themewagon.github.io/WaterLand/about.html	C:/My%20Web%20Sites/Project%20Advisory%20Sample%201/themewagon.github.io/WaterLand/about.html	(from https://themewagon.github.io/WaterLand/)
11:56:59	26418/26418	---M-Z	200	added ('OK')	text/html	etag:W/%22669394a5-6732%22	https://themewagon.github.io/WaterLand/service.html	C:/My%20Web%20Sites/Project%20Advisory%20Sample%201/themewagon.github.io/WaterLand/service.html	(from https://themewagon.github.io/WaterLand/)
