date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:00:56	41806/41806	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2013:07:18%20GMT	https://demos.creative-tim.com/material-dashboard-pro-bs4/examples/dashboard.html?_ga=2.4979763.1219911099.1722338951-95903036.1722338951	C:/My%20Web%20Sites/NewSite/demos.creative-tim.com/material-dashboard-pro-bs4/examples/dashboardd7e2.html	(from )
17:00:56	2175/2175	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jul%202024%2011:26:36%20GMT	https://demos.creative-tim.com/robots.txt		(from )
17:00:57	1109/1109	---M--	200	added ('OK')	image/png	etag:%22611a6306-98e%22	https://demos.creative-tim.com/material-dashboard-pro-bs4/assets/img/apple-icon.png	C:/My%20Web%20Sites/NewSite/demos.creative-tim.com/material-dashboard-pro-bs4/assets/img/apple-icon.png	(from https://demos.creative-tim.com/material-dashboard-pro-bs4/examples/dashboard.html?_ga=2.4979763.1219911099.1722338951-95903036.1722338951)
17:00:57	1511/1511	---M--	200	added ('OK')	image/png	etag:%22611a6306-ac9%22	https://demos.creative-tim.com/material-dashboard-pro-bs4/assets/img/favicon.png	C:/My%20Web%20Sites/NewSite/demos.creative-tim.com/material-dashboard-pro-bs4/assets/img/favicon.png	(from https://demos.creative-tim.com/material-dashboard-pro-bs4/examples/dashboard.html?_ga=2.4979763.1219911099.1722338951-95903036.1722338951)
17:00:58	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	C:/My%20Web%20Sites/NewSite/maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	(from https://demos.creative-tim.com/material-dashboard-pro-bs4/examples/dashboard.html?_ga=2.4979763.1219911099.1722338951-95903036.1722338951)
17:00:59	110565/110565	---M--	200	added ('OK')	image/jpeg	etag:%22531bfb209f19733063f6db2e94c12c56%22	https://s3.amazonaws.com/creativetim_bucket/products/51/original/opt_mdp_thumbnail.jpg	C:/My%20Web%20Sites/NewSite/s3.amazonaws.com/creativetim_bucket/products/51/original/opt_mdp_thumbnail.jpg	(from https://demos.creative-tim.com/material-dashboard-pro-bs4/examples/dashboard.html?_ga=2.4979763.1219911099.1722338951-95903036.1722338951)
17:00:59	510051/510051	---M-Z	200	added ('OK')	text/css	etag:W/%22611a6306-7c863%22	https://demos.creative-tim.com/material-dashboard-pro-bs4/assets/css/material-dashboard.min.css?v=2.2.2	C:/My%20Web%20Sites/NewSite/demos.creative-tim.com/material-dashboard-pro-bs4/assets/css/material-dashboard.min6c54.css	(from https://demos.creative-tim.com/material-dashboard-pro-bs4/examples/dashboard.html?_ga=2.4979763.1219911099.1722338951-95903036.1722338951)
17:00:59	619/619	---MCZ	200	added ('OK')	text/css	etag:W/%22611a6306-34f%22	https://demos.creative-tim.com/material-dashboard-pro-bs4/assets/demo/demo.css	C:/My%20Web%20Sites/NewSite/demos.creative-tim.com/material-dashboard-pro-bs4/assets/demo/demo.css	(from https://demos.creative-tim.com/material-dashboard-pro-bs4/examples/dashboard.html?_ga=2.4979763.1219911099.1722338951-95903036.1722338951)
17:00:59	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2030%20Jul%202024%2011:26:39%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/NewSite/www.googletagmanager.com/gtm.75445.delayed	(from https://demos.creative-tim.com/material-dashboard-pro-bs4/examples/dashboard.html?_ga=2.4979763.1219911099.1722338951-95903036.1722338951)
17:01:00	151710/151710	---M--	200	added ('OK')	image/jpeg	etag:%22611a6306-2e37e%22	https://demos.creative-tim.com/material-dashboard-pro-bs4/assets/img/sidebar-1.jpg	C:/My%20Web%20Sites/NewSite/demos.creative-tim.com/material-dashboard-pro-bs4/assets/img/sidebar-1.jpg	(from https://demos.creative-tim.com/material-dashboard-pro-bs4/examples/dashboard.html?_ga=2.4979763.1219911099.1722338951-95903036.1722338951)
